date,temp,rain,snow
1101,11.7,0.0,0
1102,13.0,0.0,0
1103,11.6,0.0,0
1104,12.9,0.0,0
1105,6.9,0.0,0
1106,3.6,0.0,0
1107,8.8,0.0,0
1108,11.8,0.0,0
1109,13.1,0.0,0
1110,13.4,0.0,0
1111,15.0,0.0,0
1112,14.9,0.0,0
1113,15.5,1.9,0
1114,12.8,0.0,0
1115,5.3,0.0,0
1116,2.9,0.0,0
1117,4.1,0.0,0
1118,6.5,0.0,0
1119,9.2,0.9,0
1120,9.5,0.0,0
1121,11.2,0.0,0
1122,9.4,0.0,0
1123,5.0,0.0,0
1124,7.2,0.0,0
1125,11.1,0.0,0
1126,8.1,0.0,0
1127,6.1,0.0,0
1128,7.8,0.0,0
1129,9.5,0.0,0
1130,8.4,0.0,0
1201,5.7,0.0,0
1202,6.1,0.0,0
1203,9.0,0.0,0
1204,8.5,0.0,0
1205,7.8,0.0,0
1206,13.0,0.0,0
1207,16.1,0.0,0
1208,10.6,0.0,0
1209,10.4,0.0,0
1210,12.7,0.0,0
1211,12.3,2.2,0
1212,2.9,3.0,0
1213,3.5,0.1,0
1214,5.8,6.9,0
1215,5.9,0.0,0
1216,4.2,0.0,0
1217,-0.3,0.0,0
1218,-2.1,0.0,0
1219,1.0,0.0,0
1220,3.1,0.0,0
1221,5.1,0.0,0
1222,2.4,0.0,0
1223,-0.9,0.0,0
1224,0.5,0.0,0
1225,2.5,0.0,0
1226,4.8,0.0,0
1227,3.5,0.0,0
1228,4.6,0.0,0
1229,4.7,0.0,0
1230,2.7,0.0,0
1231,1.6,0.0,0
0101,2.2,0.1,0
0102,5.8,0.0,0
0103,7.0,4.6,0
0104,7.9,0.0,0
0105,8.7,0.0,0
0106,5.9,13.8,0
0107,5.7,0.0,0
0108,5.8,0.0,0
0109,5.6,0.0,0
0110,5.8,0.0,0
0111,7.4,0.0,0
0112,8.7,0.0,0
0113,8.3,1.7,0
0114,7.0,0.0,0
0115,6.2,5.1,0
0116,6.1,0.0,0
0117,7.2,0.0,0
0118,8.2,21.1,0
0119,7.7,0.0,0
0120,7.3,0.0,0
