乞闭 传老荐
楷档,1岿,2岿,3岿,4岿,5岿,6岿,7岿,8岿,9岿,10岿,11岿,12岿,楷钦拌,鉴困
乞斥,9.8,6.0,2.8,0.2,0.0,0.0,0.0,0.0,0.0,0.1,2.1,7.9,28.9
弥辟 10斥,9.2,5.8,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.3,26.6
弥辟  5斥,9.4,5.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,10.4,28.4
1969,9.0,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,47.0,3
1970,7.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,23.0,45
1971,11.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,35.0,12
1972,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,31.0,22
1973,6.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,34.0,14
1974,5.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,31.0,22
1975,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,31
1976,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,37.0,9
1977,6.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,19.0,54
1978,12.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,31
1979,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,20.0,52
1980,13.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,18.0,48.0,2
1981,12.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,32.0,18
1982,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,19.0,54
1983,9.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,37.0,9
1984,11.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,39.0,7
1985,12.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,41.0,6
1986,12.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,27.0,35
1987,9.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,47
1988,12.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,37.0,9
1989,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,24.0,39
1990,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,28.0,31
1991,8.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,29.0,27
1992,10.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,30.0,26
1993,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,26.0,37
1994,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,52
1995,15.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,32.0,18
1996,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,24.0,39
1997,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,24.0,39
1998,17.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,32.0,18
1999,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,31.0,22
2000,8.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,37
2001,19.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,42.0,5
2002,11.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,29.0,27
2003,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,24.0,39
2004,11.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,39
2005,17.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,55.0,1
2006,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,21.0,48
2007,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,21.0,48
2008,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,21.0,48
2009,10.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,32.0,18
2010,10.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,38.0,8
2011,17.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,35.0,12
2012,14.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,45.0,4
2013,6.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,34.0,14
2014,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,28.0,31
2015,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,24.0,39
2016,13.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,27.0,35
2017,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,29.0,27
2018,7.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,27
2019,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,15.0,56
2020,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,48
2021,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,34.0,14
2022,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,33.0,17
2023,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,23.0,45
2024,10.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,31.0,22
2025,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,57


乞闭 拌例喊 传老荐
楷档,航(3~5岿),咯抚(6~8岿),啊阑(9~11岿),败匡(12~劳斥2岿)
乞斥,3.0,0.0,2.2,23.8
弥辟 10斥,1.7,0.0,1.6,23.0
弥辟  5斥,1.0,0.0,1.8,25.6
1900,0,0,0,0
1901,0,0,0,0
1902,0,0,0,0
1903,0,0,0,0
1904,0,0,0,0
1905,0,0,0,0
1906,0,0,0,0
1907,0,0,0,0
1908,0,0,0,0
1909,0,0,0,0
1910,0,0,0,0
1911,0,0,0,0
1912,0,0,0,0
1913,0,0,0,0
1914,0,0,0,0
1915,0,0,0,0
1916,0,0,0,0
1917,0,0,0,0
1918,0,0,0,0
1919,0,0,0,0
1920,0,0,0,0
1921,0,0,0,0
1922,0,0,0,0
1923,0,0,0,0
1924,0,0,0,0
1925,0,0,0,0
1926,0,0,0,0
1927,0,0,0,0
1928,0,0,0,0
1929,0,0,0,0
1930,0,0,0,0
1931,0,0,0,0
1932,0,0,0,0
1933,0,0,0,0
1934,0,0,0,0
1935,0,0,0,0
1936,0,0,0,0
1937,0,0,0,0
1938,0,0,0,0
1939,0,0,0,0
1940,0,0,0,0
1941,0,0,0,0
1942,0,0,0,0
1943,0,0,0,0
1944,0,0,0,0
1945,0,0,0,0
1946,0,0,0,0
1947,0,0,0,0
1948,0,0,0,0
1949,0,0,0,0
1950,0,0,0,0
1951,0,0,0,0
1952,0,0,0,0
1953,0,0,0,0
1954,0,0,0,0
1955,0,0,0,0
1956,0,0,0,0
1957,0,0,0,0
1958,0,0,0,0
1959,0,0,0,0
1960,0,0,0,0
1961,0,0,0,0
1962,0,0,0,0
1963,0,0,0,0
1964,0,0,0,0
1965,0,0,0,0
1966,0,0,0,0
1967,0,0,0,0
1968,0,0,0,19
1969,8,0,6,24
1970,6,0,1,26
1971,4,0,3,20
1972,2,0,10,19
1973,2,0,3,31
1974,6,0,2,28
1975,0,0,0,27
1976,4,0,8,18
1977,3,0,3,25
1978,1,0,2,15
1979,1,0,2,27
1980,3,0,4,39
1981,4,0,3,17
1982,0,0,1,26
1983,2,0,5,27
1984,11,0,0,32
1985,1,0,4,35
1986,2,0,1,20
1987,2,0,0,20
1988,6,0,5,18
1989,4,0,3,25
1990,0,0,1,27
1991,5,0,1,24
1992,2,0,2,21
1993,2,0,3,20
1994,5,0,0,21
1995,3,0,4,20
1996,1,0,2,21
1997,0,0,3,29
1998,4,0,5,21
1999,1,0,4,26
2000,1,0,0,30
2001,9,0,1,21
2002,2,0,7,21
2003,2,0,1,26
2004,4,0,1,30
2005,4,0,2,26
2006,6,0,3,14
2007,5,0,1,17
2008,2,0,3,18
2009,5,0,3,28
2010,4,0,2,36
2011,3,0,2,33
2012,3,0,2,31
2013,3,0,5,21
2014,1,0,1,29
2015,3,0,3,26
2016,1,0,1,20
2017,2,0,2,26
2018,4,0,0,15
2019,2,0,1,15
2020,2,0,0,29
2021,1,0,2,30
2022,0,0,1,24
2023,0,0,4,24
2024,2,0,2,21
2025,0,0,0,0


传老荐 包螟蔼
楷档,朝楼,瘤痢,扁惑泅惑,老 弥缴脚利汲(cm)
1969,0101,措傈,传,0.2
1969,0103,措傈,传,0.3
1969,0104,措傈,传,0.2
1969,0105,措傈,传,8.3
1969,0125,措傈,传,0.3
1969,0128,措傈,传  家倡己柳传柄厚,7.6
1969,0129,措傈,传  家倡传,5.2
1969,0130,措傈,传,1.5
1969,0131,措傈,传,9.2
1969,0201,措傈,传,0.0
1969,0204,措傈,传,5.1
1969,0207,措傈,传,1.1
1969,0214,措傈,传,-
1969,0215,措傈,传,0.0
1969,0216,措傈,传,3.6
1969,0220,措傈,传,-
1969,0221,措傈,传,0.1
1969,0227,措傈,传,-
1969,0228,措傈,传,2.5
1969,0303,措傈,传,-
1969,0304,措傈,传,14.9
1969,0311,措傈,传,0.0
1969,0312,措傈,传  柳传柄厚,4.4
1969,0313,措傈,传,1.4
1969,0316,措傈,柳传柄厚,-
1969,0404,措傈,传,-
1969,0416,措傈,柳传柄厚,-
1969,1110,措傈,轿遏传,-
1969,1117,措傈,传,-
1969,1118,措傈,传,-
1969,1124,措傈,传,0.4
1969,1129,措傈,传,2.2
1969,1130,措傈,传,0.6
1969,1202,措傈,传,-
1969,1203,措傈,传,-
1969,1208,措傈,传,-
1969,1209,措傈,传,-
1969,1210,措傈,传,-
1969,1212,措傈,传,-
1969,1214,措傈,传,-
1969,1215,措傈,传,-
1969,1217,措傈,传,-
1969,1218,措傈,传,-
1969,1225,措傈,传,-
1969,1228,措傈,传,-
1969,1229,措傈,传,-
1969,1230,措傈,传,-
1970,0104,措傈,传,0.1
1970,0105,措傈,传,0.3
1970,0106,措傈,传,0.0
1970,0108,措傈,传,0.0
1970,0110,措傈,传,1.0
1970,0111,措傈,传,0.0
1970,0112,措傈,传  轿遏传,-
1970,0207,措傈,传,0.8
1970,0209,措傈,传,-
1970,0220,措傈,传  柳传柄厚,-
1970,0305,措傈,传,-
1970,0315,措傈,传  柳传柄厚,0.4
1970,0316,措傈,传,-
1970,0318,措傈,传  轿遏传,-
1970,0319,措傈,传,-
1970,0323,措傈,传,-
1970,1129,措傈,传,-
1970,1201,措傈,传,-
1970,1202,措傈,传  柳传柄厚,-
1970,1203,措傈,传,-
1970,1210,措傈,传,-
1970,1213,措傈,传,3.4
1970,1222,措傈,传,-
1971,0101,措傈,传,-
1971,0103,措傈,传,-
1971,0104,措傈,传,0.8
1971,0108,措傈,传,1.7
1971,0113,措傈,传,2.0
1971,0121,措傈,传  柳传柄厚,-
1971,0122,措傈,传,-
1971,0125,措傈,传,3.6
1971,0127,措傈,传,0.5
1971,0129,措傈,传,0.3
1971,0131,措傈,传,1.4
1971,0202,措傈,传,2.1
1971,0203,措傈,传,0.0
1971,0206,措傈,传,-
1971,0207,措傈,传,0.0
1971,0208,措傈,传,0.2
1971,0209,措傈,传,4.6
1971,0212,措傈,传,0.1
1971,0214,措傈,传  柳传柄厚,0.8
1971,0217,措傈,传,0.1
1971,0312,措傈,传,1.2
1971,0313,措傈,传,-
1971,0316,措傈,传  柳传柄厚,3.4
1971,0324,措傈,传  柳传柄厚,-
1971,1128,措傈,传,-
1971,1129,措傈,传,-
1971,1130,措傈,传,0.0
1971,1205,措傈,传,3.0
1971,1206,措傈,传,4.2
1971,1208,措傈,传,0.2
1971,1209,措傈,传,0.1
1971,1212,措傈,传,0.1
1971,1214,措傈,传,-
1971,1225,措傈,传,0.9
1971,1226,措傈,传,0.0
1972,0115,措傈,传  柳传柄厚,1.3
1972,0121,措傈,传  柳传柄厚,-
1972,0126,措傈,传,0.0
1972,0129,措傈,传,5.0
1972,0204,措傈,传  柳传柄厚,1.3
1972,0206,措傈,传  柳传柄厚,2.3
1972,0213,措傈,传,1.5
1972,0216,措傈,传,2.6
1972,0223,措傈,传,1.2
1972,0226,措傈,传  柳传柄厚,2.2
1972,0227,措傈,传,0.3
1972,0229,措傈,传,-
1972,0301,措傈,传,0.0
1972,0331,措傈,传,-
1972,1120,措傈,传,-
1972,1121,措傈,传,0.0
1972,1122,措傈,传,-
1972,1123,措傈,传,1.7
1972,1124,措傈,传,0.9
1972,1125,措傈,传,0.1
