乞闭 碍荐老荐
楷档,1岿,2岿,3岿,4岿,5岿,6岿,7岿,8岿,9岿,10岿,11岿,12岿,楷钦拌,鉴困
1907,,2.0,8.0,11.0,12.0,13.0,14.0,12.0,5.0,7.0,10.0,2.0,,
1908,6.0,3.0,10.0,11.0,12.0,14.0,14.0,16.0,7.0,7.0,2.0,3.0,105.0,32
1909,6.0,1.0,6.0,9.0,6.0,12.0,11.0,14.0,11.0,4.0,8.0,6.0,94.0,75
1910,8.0,4.0,8.0,10.0,7.0,14.0,21.0,12.0,16.0,2.0,10.0,3.0,115.0,4
1911,9.0,3.0,10.0,10.0,7.0,11.0,15.0,11.0,15.0,7.0,12.0,3.0,113.0,7
1912,2.0,8.0,6.0,7.0,12.0,9.0,16.0,10.0,4.0,5.0,3.0,4.0,86.0,103
1913,6.0,1.0,0.0,10.0,12.0,10.0,10.0,4.0,4.0,4.0,6.0,6.0,73.0,116
1914,6.0,6.0,9.0,13.0,10.0,15.0,6.0,9.0,9.0,8.0,5.0,2.0,98.0,59
1915,6.0,5.0,9.0,10.0,8.0,11.0,6.0,13.0,10.0,4.0,5.0,1.0,88.0,94
1916,7.0,7.0,4.0,9.0,6.0,18.0,18.0,13.0,14.0,6.0,2.0,4.0,108.0,21
1917,2.0,2.0,9.0,6.0,10.0,9.0,9.0,13.0,13.0,7.0,6.0,3.0,89.0,88
1918,1.0,2.0,6.0,12.0,11.0,6.0,22.0,12.0,8.0,6.0,7.0,5.0,98.0,58
1919,7.0,4.0,6.0,9.0,7.0,14.0,8.0,9.0,9.0,7.0,5.0,3.0,88.0,93
1920,7.0,12.0,8.0,6.0,8.0,10.0,14.0,18.0,7.0,3.0,5.0,13.0,111.0,13
1921,6.0,4.0,10.0,8.0,10.0,10.0,14.0,13.0,6.0,9.0,5.0,5.0,100.0,49
1922,4.0,8.0,5.0,2.0,9.0,12.0,11.0,12.0,14.0,5.0,10.0,4.0,96.0,67
1923,9.0,5.0,8.0,11.0,11.0,11.0,16.0,11.0,7.0,4.0,11.0,3.0,107.0,24
1924,3.0,6.0,2.0,9.0,8.0,8.0,13.0,8.0,9.0,5.0,7.0,6.0,84.0,108
1925,5.0,7.0,5.0,6.0,13.0,13.0,19.0,14.0,12.0,5.0,10.0,11.0,120.0,2
1926,9.0,5.0,6.0,6.0,14.0,7.0,13.0,9.0,18.0,7.0,4.0,5.0,103.0,42
1927,6.0,7.0,8.0,8.0,6.0,8.0,11.0,20.0,11.0,8.0,5.0,7.0,105.0,31
1928,8.0,6.0,10.0,8.0,4.0,13.0,13.0,9.0,21.0,4.0,10.0,7.0,113.0,6
1929,4.0,4.0,11.0,10.0,9.0,10.0,5.0,13.0,5.0,7.0,8.0,19.0,105.0,30
1930,3.0,7.0,11.0,11.0,7.0,12.0,20.0,14.0,9.0,3.0,11.0,3.0,111.0,12
1931,10.0,8.0,6.0,10.0,5.0,9.0,18.0,16.0,13.0,4.0,9.0,12.0,120.0,1
1932,7.0,7.0,4.0,9.0,9.0,12.0,7.0,14.0,15.0,3.0,7.0,12.0,106.0,26
1933,5.0,3.0,7.0,9.0,8.0,13.0,14.0,18.0,7.0,9.0,5.0,6.0,104.0,37
1934,2.0,3.0,5.0,9.0,9.0,11.0,15.0,14.0,11.0,7.0,7.0,9.0,102.0,45
1935,3.0,3.0,6.0,6.0,6.0,12.0,13.0,16.0,9.0,7.0,11.0,6.0,98.0,57
1936,3.0,7.0,4.0,13.0,10.0,11.0,16.0,23.0,11.0,1.0,5.0,8.0,112.0,10
1937,6.0,9.0,10.0,8.0,10.0,13.0,15.0,11.0,9.0,9.0,10.0,5.0,115.0,3
