평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
1905,6.0,4.0,4.0,8.0,9.0,11.0,17.0,14.0,13.0,13.0,7.0,8.0,114.0,26
1906,9.0,8.0,5.0,8.0,9.0,5.0,9.0,14.0,13.0,5.0,4.0,13.0,102.0,70
1907,8.0,6.0,8.0,9.0,16.0,7.0,10.0,15.0,4.0,12.0,12.0,11.0,118.0,18
1908,10.0,4.0,5.0,5.0,14.0,14.0,17.0,12.0,8.0,6.0,10.0,7.0,112.0,33
1909,5.0,5.0,4.0,6.0,8.0,10.0,14.0,17.0,9.0,9.0,7.0,12.0,106.0,52
1910,15.0,6.0,5.0,9.0,5.0,15.0,19.0,10.0,8.0,4.0,11.0,9.0,116.0,21
1911,10.0,9.0,11.0,10.0,7.0,13.0,19.0,12.0,17.0,8.0,11.0,8.0,135.0,3
1912,7.0,7.0,5.0,9.0,10.0,10.0,18.0,11.0,6.0,7.0,7.0,8.0,105.0,57
1913,12.0,5.0,2.0,10.0,9.0,10.0,15.0,5.0,5.0,8.0,5.0,9.0,95.0,100
1914,9.0,4.0,10.0,10.0,4.0,10.0,16.0,12.0,8.0,11.0,12.0,9.0,115.0,23
1915,7.0,8.0,7.0,8.0,12.0,13.0,13.0,13.0,14.0,12.0,7.0,6.0,120.0,13
1916,11.0,6.0,7.0,17.0,11.0,15.0,16.0,18.0,16.0,6.0,6.0,8.0,137.0,1
1917,5.0,7.0,4.0,7.0,12.0,13.0,11.0,17.0,12.0,5.0,12.0,8.0,113.0,30
1918,4.0,5.0,6.0,9.0,13.0,8.0,14.0,9.0,10.0,4.0,11.0,5.0,98.0,85
1919,11.0,5.0,7.0,10.0,10.0,15.0,9.0,8.0,7.0,14.0,11.0,9.0,116.0,20
1920,11.0,5.0,9.0,8.0,5.0,7.0,18.0,9.0,6.0,3.0,10.0,11.0,102.0,69
1921,10.0,6.0,7.0,7.0,9.0,13.0,13.0,11.0,7.0,8.0,10.0,12.0,113.0,29
1922,5.0,4.0,5.0,4.0,11.0,8.0,18.0,19.0,12.0,10.0,12.0,7.0,115.0,22
1923,10.0,6.0,12.0,8.0,13.0,8.0,14.0,15.0,10.0,8.0,13.0,11.0,128.0,6
1924,6.0,7.0,4.0,10.0,8.0,7.0,23.0,5.0,6.0,7.0,6.0,3.0,92.0,106
1925,4.0,7.0,8.0,3.0,10.0,8.0,15.0,10.0,9.0,5.0,8.0,10.0,97.0,94
1926,11.0,6.0,6.0,8.0,13.0,5.0,18.0,19.0,9.0,11.0,7.0,8.0,121.0,12
1927,7.0,2.0,5.0,7.0,14.0,4.0,18.0,13.0,5.0,9.0,6.0,10.0,100.0,80
1928,4.0,2.0,7.0,6.0,11.0,10.0,16.0,8.0,10.0,8.0,9.0,8.0,99.0,81
1929,7.0,6.0,4.0,7.0,10.0,6.0,17.0,10.0,12.0,5.0,9.0,16.0,109.0,41
1930,3.0,8.0,8.0,9.0,8.0,10.0,20.0,10.0,10.0,4.0,14.0,10.0,114.0,25
1931,12.0,6.0,4.0,11.0,7.0,10.0,14.0,19.0,8.0,8.0,8.0,14.0,121.0,11
1932,6.0,13.0,10.0,5.0,11.0,11.0,12.0,14.0,8.0,11.0,10.0,12.0,123.0,9
1933,5.0,6.0,8.0,5.0,12.0,13.0,11.0,17.0,10.0,7.0,12.0,13.0,119.0,16
1934,12.0,12.0,9.0,6.0,4.0,15.0,23.0,17.0,9.0,6.0,12.0,10.0,135.0,2
1935,10.0,3.0,3.0,5.0,8.0,8.0,15.0,11.0,7.0,8.0,11.0,8.0,97.0,93
1936,7.0,6.0,5.0,14.0,9.0,10.0,17.0,22.0,15.0,3.0,14.0,8.0,130.0,5
1937,10.0,9.0,8.0,13.0,9.0,7.0,16.0,11.0,10.0,8.0,10.0,13.0,124.0,8
1938,5.0,3.0,10.0,5.0,18.0,14.0,14.0,12.0,8.0,8.0,6.0,7.0,110.0,35
1939,9.0,5.0,5.0,7.0,12.0,11.0,9.0,8.0,7.0,11.0,13.0,10.0,107.0,48
1940,5.0,4.0,6.0,8.0,10.0,6.0,24.0,14.0,8.0,3.0,8.0,12.0,108.0,42
1941,15.0,4.0,8.0,9.0,10.0,14.0,13.0,13.0,2.0,10.0,6.0,9.0,113.0,28
1942,4.0,4.0,8.0,9.0,9.0,8.0,13.0,11.0,13.0,9.0,9.0,9.0,106.0,51
1943,4.0,7.0,6.0,6.0,8.0,6.0,9.0,5.0,13.0,9.0,14.0,6.0,93.0,104
1944,3.0,6.0,7.0,8.0,13.0,9.0,19.0,9.0,10.0,4.0,14.0,10.0,112.0,32
1945,4.0,1.0,18.0,5.0,12.0,11.0,15.0,12.0,10.0,5.0,5.0,11.0,109.0,40
1946,6.0,6.0,7.0,9.0,7.0,17.0,9.0,16.0,9.0,8.0,3.0,9.0,106.0,50
1947,8.0,2.0,12.0,10.0,5.0,16.0,26.0,14.0,11.0,7.0,7.0,12.0,130.0,4
1948,7.0,4.0,7.0,2.0,5.0,12.0,20.0,9.0,8.0,7.0,3.0,8.0,92.0,105
1949,10.0,7.0,4.0,10.0,7.0,10.0,12.0,9.0,8.0,5.0,7.0,11.0,100.0,79
1950,10.0,5.0,3.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,120
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,11.0,27.0,121
1952,5.0,8.0,6.0,7.0,2.0,6.0,10.0,12.0,8.0,8.0,8.0,10.0,90.0,110
1953,2.0,4.0,13.0,3.0,9.0,18.0,17.0,13.0,5.0,11.0,7.0,7.0,109.0,39
1954,8.0,7.0,1.0,5.0,8.0,12.0,21.0,14.0,7.0,8.0,5.0,6.0,102.0,68
