평균 강수일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,6.1,5.8,7,8.4,8.6,9.9,16.3,14.7,9.1,6.1,8.8,7.8,108.6
최근 10년,6.4,6.3,6.4,8.4,8.3,10.0,15.5,13.8,8.6,6.1,7.9,8.6,106.3
최근  5년,7.6,6.6,7.2,6.8,9.8,10.8,15.8,15.0,9.8,5.4,6.6,7.8,109.2
1907,,,,,,,,,,10.0,8.0,10.0,,
1908,13.0,3.0,6.0,4.0,14.0,11.0,15.0,11.0,8.0,3.0,9.0,7.0,104.0,86
1909,4.0,8.0,6.0,7.0,9.0,11.0,20.0,17.0,12.0,7.0,8.0,12.0,121.0,19
1910,12.0,4.0,6.0,7.0,5.0,12.0,19.0,13.0,9.0,4.0,12.0,8.0,111.0,53
1911,10.0,9.0,13.0,9.0,6.0,12.0,23.0,15.0,16.0,9.0,13.0,6.0,141.0,1
1912,7.0,8.0,6.0,9.0,10.0,12.0,15.0,13.0,5.0,8.0,5.0,8.0,106.0,80
1913,5.0,6.0,4.0,9.0,9.0,12.0,14.0,6.0,3.0,3.0,4.0,9.0,84.0,114
1914,7.0,6.0,9.0,12.0,4.0,11.0,14.0,14.0,9.0,10.0,14.0,9.0,119.0,24
1915,10.0,9.0,7.0,9.0,13.0,13.0,11.0,14.0,15.0,8.0,6.0,7.0,122.0,17
1916,10.0,7.0,8.0,16.0,13.0,15.0,17.0,17.0,13.0,7.0,7.0,5.0,135.0,4
1917,6.0,4.0,7.0,5.0,10.0,11.0,10.0,16.0,13.0,7.0,10.0,8.0,107.0,77
1918,4.0,5.0,6.0,9.0,13.0,7.0,15.0,10.0,9.0,5.0,11.0,9.0,103.0,89
1919,12.0,4.0,9.0,9.0,9.0,13.0,11.0,6.0,11.0,15.0,9.0,6.0,114.0,40
1920,7.0,8.0,7.0,10.0,7.0,11.0,19.0,13.0,7.0,2.0,9.0,12.0,112.0,48
1921,9.0,6.0,9.0,8.0,9.0,11.0,15.0,11.0,7.0,7.0,9.0,11.0,112.0,47
1922,4.0,4.0,6.0,4.0,12.0,11.0,19.0,18.0,12.0,9.0,12.0,8.0,119.0,23
1923,10.0,7.0,12.0,9.0,11.0,8.0,14.0,16.0,11.0,7.0,12.0,11.0,128.0,12
1924,7.0,7.0,5.0,10.0,8.0,6.0,19.0,4.0,6.0,6.0,8.0,5.0,91.0,110
1925,6.0,8.0,10.0,3.0,13.0,9.0,18.0,14.0,7.0,3.0,9.0,10.0,110.0,59
1926,12.0,5.0,6.0,10.0,13.0,7.0,19.0,20.0,12.0,11.0,6.0,9.0,130.0,9
1927,6.0,3.0,7.0,8.0,14.0,4.0,18.0,17.0,6.0,9.0,5.0,10.0,107.0,76
1928,6.0,4.0,10.0,5.0,8.0,12.0,15.0,8.0,9.0,5.0,8.0,7.0,97.0,103
1929,7.0,8.0,3.0,8.0,14.0,6.0,15.0,13.0,8.0,5.0,11.0,15.0,113.0,45
1930,3.0,9.0,8.0,10.0,8.0,7.0,22.0,11.0,7.0,4.0,16.0,6.0,111.0,52
1931,12.0,7.0,7.0,10.0,6.0,9.0,16.0,19.0,8.0,7.0,8.0,13.0,122.0,16
1932,7.0,10.0,13.0,7.0,9.0,10.0,13.0,15.0,9.0,11.0,6.0,6.0,116.0,33
